timestamp,src_ip,dst_ip,src_port,dst_port,user,host,event_type,severity,bytes_in,bytes_out,message
2026-03-04 00:00:12,172.16.176.80,192.168.232.67,3389,445,hkobayashi,WS-00,LOGIN_FAILURE,6,13434,11395,"An account failed to log on. Subject: hkobayashi, Logon Type: 3, Workstation: 172.16.176.80"
2026-03-04 00:00:24,10.0.0.244,192.168.210.199,53,80,svillegas,SRV-00,FILE_ACCESS,3,3478,54987,svillegas accessed file /data/share/backup.sql from 10.0.0.244
2026-03-04 00:00:36,10.0.0.227,10.1.186.70,53,443,agarcia,SRV-00,PRIVILEGE_USE,4,44597,28221,agarcia used privileged command sc query security on 10.1.186.70
2026-03-04 00:00:48,172.16.147.161,10.0.0.106,80,135,msilva,WS-01,LOGIN_FAILURE,6,34671,60217,"An account failed to log on. Subject: msilva, Logon Type: 3, Workstation: 172.16.147.161"
2026-03-04 00:01:00,192.168.184.14,192.168.74.177,389,80,tkim,WS-14,LOGIN_FAILURE,6,47400,9116,"An account failed to log on. Subject: tkim, Logon Type: 3, Workstation: 192.168.184.14"
2026-03-04 00:01:12,172.16.45.165,192.168.117.161,3389,80,jdavis,WS-05,METADATA_UPDATE,2,0,0,Agent heartbeat received from 172.16.45.165
2026-03-04 00:01:24,10.1.102.178,192.168.58.211,138,443,rlopez,SRV-02,FIREWALL_ALLOW,3,27460,9358,Connection allowed 10.1.102.178:138 -> 192.168.58.211:443 proto tcp zone DMZ->CORP
2026-03-04 00:01:36,192.168.230.175,172.16.44.191,8080,445,svillegas,WS-15,METADATA_UPDATE,2,49735,28785,Agent heartbeat received from 192.168.230.175
2026-03-04 00:01:48,192.168.82.38,192.168.42.134,53,445,hkobayashi,WS-18,FIREWALL_DENY,7,41347,8675,Connection blocked 192.168.82.38:53 -> 192.168.42.134:445 rule 1042 denied
2026-03-04 00:02:00,172.16.237.127,192.168.230.119,138,445,dpetrov,WS-07,PRIVILEGE_USE,4,51856,0,dpetrov used privileged command whoami /priv on 192.168.230.119
2026-03-04 00:02:12,192.168.88.12,10.1.2.50,443,445,agarcia,WS-12,PASSWORD_CHANGE,4,34438,56155,A user account password was changed: agarcia on 10.1.2.50
2026-03-04 00:02:24,10.0.0.10,192.168.65.138,445,443,svillegas,SRV-00,FILE_ACCESS,3,11915,14371,svillegas accessed file /data/share/backup.sql from 10.0.0.10
2026-03-04 00:02:36,172.16.66.189,10.0.0.165,389,22,hkobayashi,WS-09,PASSWORD_CHANGE,4,50019,61348,A user account password was changed: hkobayashi on 10.0.0.165
2026-03-04 00:02:48,10.1.225.134,10.1.95.61,8080,53,tkim,SRV-05,FIREWALL_ALLOW,3,15014,34973,Connection allowed 10.1.225.134:8080 -> 10.1.95.61:53 proto tcp zone DMZ->CORP
